,Unnamed: 0,Shape_Area,ADM2_PCODE,ADM2_EN,year
0,0,0.067758,PK101,Bagh,2010
1,1,0.117047,PK102,Bhimber,2010
2,2,0.066683,PK103,Jhelum Valley,2010
3,3,0.05372231,PK104,Haveli,2010
4,4,0.15506868,PK105,Kotli,2010
5,5,0.08676804,PK106,Mirpur,2010
6,6,0.13335715,PK107,Muzaffarabad,2010
7,7,0.3091189,PK108,Neelum,2010
8,8,0.07007248,PK109,Poonch,2010
9,9,0.055224873,PK110,Sudhnoti,2010
10,10,2.2567182,PK201,Awaran,2010
11,11,0.32853547,PK202,Barkhan,2010
12,12,4.1175814,PK203,Chagai,2010
13,13,0.952769,PK204,Dera Bugti,2010
14,14,1.038382,PK205,Gwadar,2010
15,15,0.2867488,PK206,Harnai,2010
16,16,0.15641911,PK207,Jaffarabad,2010
17,17,0.3554402,PK208,Jhal Magsi,2010
18,18,0.49832225,PK209,Kachhi,2010
19,19,0.9434911,PK210,Kalat,2010
20,20,2.2015545,PK211,Kech,2010
21,21,0.7585757,PK212,Kharan,2010
22,22,2.8262496,PK213,Khuzdar,2010
23,23,0.28203654,PK214,Killa Abdullah,2010
24,24,1.1710682,PK215,Killa Saifullah,2010
25,25,0.71964014,PK216,Kohlu,2010
26,26,1.2652731,PK217,Lasbela,2010
27,27,0.30422506,PK218,Lehri,2010
28,28,0.35663244,PK219,Loralai,2010
29,29,0.43941626,PK220,Mastung,2010
30,30,0.55652255,PK221,Musakhel,2010
31,31,0.29746974,PK222,Nasirabad,2010
32,32,0.5452673,PK223,Nushki,2010
33,33,1.5951756,PK224,Panjgur,2010
34,34,0.57322234,PK225,Pishin,2010
35,35,0.35198358,PK226,Quetta,2010
36,36,0.29001522,PK227,Sherani,2010
37,37,0.46320465,PK228,Sibi,2010
38,38,0.072524294,PK229,Sohbatpur,2010
39,39,3.573732,PK230,Washuk,2010
40,40,1.1316906,PK231,Zhob,2010
41,41,0.30705035,PK232,Ziarat,2010
42,42,0.3410207,PK233,Shaheed Sikandarabad,2010
43,43,0.4060931,PK234,Duki,2010
44,44,0.15424407,PK235,Chaman,2010
45,45,0.5076724,PK301,Astore,2010
46,46,0.41814363,PK302,Diamir,2010
47,47,0.8591575,PK303,Ghanche,2010
48,48,0.43430954,PK304,Ghizer,2010
49,49,0.4009781,PK305,Gilgit,2010
50,50,1.149797,PK306,Hunza,2010
51,51,0.20982525,PK307,Skardu,2010
52,52,0.3031191,PK308,Nagar,2010
53,53,0.58849967,PK309,Kharmang,2010
54,54,0.8485719,PK310,Shigar,2010
55,55,0.16442235,PK311,Darel,2010
56,56,0.10983269,PK312,Tangir,2010
57,57,0.77443445,PK313,Gupis-Yasin,2010
58,58,0.1871111,PK314,Rondu,2010
59,59,0.087644935,PK401,Islamabad,2010
60,60,0.16018462,PK501,Abbottabad,2010
61,61,0.13451374,PK502,Bajaur,2010
62,62,0.19561182,PK503,Bannu,2010
63,63,0.14627473,PK504,Batagram,2010
64,64,0.17405613,PK505,Buner,2010
65,65,0.0977768,PK506,Charsadda,2010
66,66,0.60660887,PK507,Chitral Lower,2010
67,67,0.8661933,PK508,Chitral Upper,2010
68,68,0.8600089,PK509,D. I. Khan,2010
69,69,0.13302058,PK510,Hangu,2010
70,70,0.19067927,PK511,Haripur,2010
71,71,0.25592497,PK512,Karak,2010
72,72,0.2679823,PK513,Khyber,2010
73,73,0.33356827,PK514,Kohat,2010
