OBJECTID,Join_Count,TARGET_FID,group_,ID,Pop,group1,Shape_Length,Shape_Area
1,1,1,0,1473,53198.28125,0,0.233332,0.001597228
2,1,2,1,1474,65361.77734,1,0.3,0.001666675
3,1,3,2,1475,54165.11328,2,0.266666,0.001736097
4,1,4,3,1476,149639.3906,3,0.466664,0.004305511
5,1,5,4,1477,818427.9375,4,2.050002,0.0252083
6,1,6,5,1478,69537.71094,5,0.25,0.002430569
7,1,7,6,1479,120288.5,6,0.25,0.002569414
8,1,8,7,1480,155755.7969,7,0.333334,0.003680594
9,1,9,8,7431,2341803.75,8,4.466666,0.062847253
10,1,10,9,1483,340380.1875,9,0.88333,0.010694489
11,1,11,10,1484,502187.9375,10,0.633334,0.008541675
12,1,12,11,1487,185589.1406,11,0.433332,0.004583317
13,1,13,12,1488,293891.0313,12,0.96667,0.009444414
14,1,14,13,1489,105220.3125,13,0.383334,0.002986147
15,1,15,14,1491,201979.4063,14,0.45,0.005486131
16,1,16,15,1493,54169.375,15,0.166668,0.001250008
17,1,17,16,1494,3520836.5,16,3.250008,0.077013853
18,1,18,17,1495,97663.84375,17,0.283334,0.002847228
19,1,19,18,1496,62669.20313,18,0.25,0.001805561
20,1,20,19,1497,181514.4375,19,0.41667,0.004375025
21,1,21,20,1498,63860.60156,20,0.216666,0.001805544
22,1,22,21,1499,66437.51563,21,0.183334,0.001597219
23,1,23,22,1500,4185384.5,22,3.050002,0.07145835
24,1,24,23,1501,499887.4688,23,0.566668,0.010902822
25,1,25,24,1502,51903.69531,24,0.233332,0.00145835
26,1,26,25,1503,278231.0313,25,0.68333,0.00666665
27,1,27,26,1504,50379.93359,26,0.166666,0.001180553
28,1,28,27,1505,63328.39844,27,0.2,0.001527806
29,1,29,28,1506,56781.71094,28,0.166666,0.001180553
30,1,30,29,1507,125241.4063,29,0.266666,0.002638861
31,1,31,30,1508,141879.3125,30,0.333332,0.002986106
32,1,32,31,1509,789884.25,31,1.766664,0.020138903
33,1,33,32,1510,1459130.375,32,1.55,0.030069464
34,1,34,33,1511,51163.32422,33,0.183334,0.001319456
35,1,35,34,1512,54458.99219,34,0.183334,0.001249992
36,1,36,35,1513,153800.25,35,0.383336,0.003333308
37,1,37,36,1514,71266.28906,36,0.2,0.001666683
38,1,38,37,1515,65486.5,37,0.183334,0.001388911
39,1,39,38,1516,85176.5625,38,0.2,0.001597228
40,1,40,39,1517,96552.42188,39,0.199998,0.001874967
41,1,41,40,1518,166215.6406,40,0.349998,0.003263903
42,1,42,41,1519,656875,41,0.583332,0.010625008
43,1,43,42,1520,113582.4141,42,0.233332,0.002638886
44,1,44,43,1521,3172243.25,43,2.73334,0.052291617
45,1,45,44,1522,203102.6406,44,0.3,0.003333325
46,1,46,45,1523,281434,45,0.499998,0.005
47,1,47,46,1524,59608.09375,46,0.2,0.001458325
48,1,48,47,1525,73592.1875,47,0.216666,0.001805553
49,1,49,48,1526,66369.82031,48,0.2,0.001458333
50,1,50,49,1527,4632782,49,2.450002,0.041458317
51,1,51,50,1528,211550.875,50,0.366668,0.00416665
52,1,52,51,1530,352456.4375,51,0.383334,0.005833358
53,1,53,52,1531,207062.7813,52,0.4,0.003888853
54,0,54,53,1532,12466925,53,5.999996,0.162013894
55,1,55,54,1533,272739.25,54,0.366666,0.004652781
56,1,56,55,1534,111397.5781,55,0.333332,0.002361122
57,1,57,56,1535,70545.23438,56,0.233334,0.001875
58,1,58,57,1536,142063.9375,57,0.283334,0.003263903
59,1,59,58,1537,132107.9219,58,0.316666,0.00333335
60,1,60,59,1538,169829.9375,59,0.283332,0.003263869
61,1,61,60,1539,77020.01563,60,0.249998,0.001944464
62,1,62,61,1540,50034.17969,61,0.183332,0.001111089
63,1,63,62,1541,95072.9375,62,0.283332,0.002222194
64,1,64,63,3086,514174.6875,63,1.083336,0.010694481
65,1,65,64,1543,50293.57031,64,0.183334,0.00125
66,1,66,65,1545,90580.35156,65,0.183332,0.001527764
67,1,67,66,1546,59760.66406,66,0.233332,0.002013869
68,1,68,67,1547,52274.00391,67,0.133332,0.00104165
69,1,69,68,1548,83294.28906,68,0.2,0.001527781
70,1,70,69,1549,450856.1875,69,0.516668,0.008055544
71,1,71,70,1550,141691.2969,70,0.383334,0.003611064
72,1,72,71,1551,79876.82813,71,0.249998,0.001944422
73,1,73,72,1552,70129.65625,72,0.233332,0.001666658
74,1,74,73,1553,119808.6563,73,0.349998,0.002916683
75,1,75,74,1554,84561.83594,74,0.266664,0.002013861
76,1,76,75,1555,179439.5625,75,0.266666,0.003611089
77,1,77,76,1556,195921.9688,76,0.333332,0.003541633
78,1,78,77,1557,133349.6719,77,0.316666,0.002986139
