OBJECTID,FID_pak1k_gpo2_urban,ID,Pop,FID_pak_admbnda_adm1_wfp_20220909,Shape_Leng,ADM1_EN,ADM1_PCODE,ADM1_REF,ADM1ALT1EN,ADM1ALT2EN,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Length,Shape_Area
1,1,3973,12211.08398,2,16.02175558,Gilgit Baltistan,PK3, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.266666,0.001666675
2,2,3974,14913.76563,2,16.02175558,Gilgit Baltistan,PK3, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.333336,0.002291667
3,3,3975,22004.8125,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.283334,0.002569439
4,4,3976,15526.08691,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.283332,0.002083308
5,5,3977,7357.668945,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.183332,0.001111089
6,6,3978,6337.259766,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.166666,0.001180536
7,7,3979,16754.43359,2,16.02175558,Gilgit Baltistan,PK3, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.233334,0.002083342
8,8,3990,11423.85547,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.250002,0.002083325
9,9,3995,5420.111328,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.2,0.001180536
10,10,4031,10499.30469,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.2,0.001736114
11,11,4039,5763.512695,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.183334,0.001180586
12,12,4050,46427.92969,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.949996,0.009097219
13,13,4051,5065.909668,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.166664,0.000902772
14,14,4064,5029.055664,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.199998,0.000972203
15,15,4084,6174.644531,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.183332,0.001041667
16,16,4090,161240.1323,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.775462972,0.013356542
17,17,4126,5382.073229,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.147369432,0.000864858
18,17,4126,1964.745619,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.149320848,0.00031572
19,18,4141,169887.4219,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,1.149994,0.019930611
20,19,4152,29468.47656,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.516668,0.005347203
21,20,4153,64064.97567,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.919650503,0.009371501
22,20,4153,498.5008962,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.063914195,7.29213E-05
23,21,4159,189.6551397,3,1.745309578,Islamabad,PK4, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.038611638,3.50115E-05
24,21,4159,8086.192517,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.244693526,0.001492761
25,22,4160,9637.847656,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.183332,0.001527756
26,23,4163,9922.613281,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.25,0.001736122
27,24,4171,90387.05469,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,1.149996,0.017430528
28,25,4178,6416.241699,4,27.33281833,Khyber Pakhtunkhwa,PK5, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.216668,0.001250008
29,26,4179,5417.826172,0,9.397279039,Azad Kashmir,PK1, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.166666,0.001041675
30,27,4180,9325.040039,5,28.04656823,Punjab,PK6, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.283334,0.001736089
31,28,4182,13971.52441,0,9.397279039,Azad Kashmir,PK1, , , ,Pakistan,PK,2022-09-02 0:00:00,2022-09-09 0:00:00,,0.283338,0.001944431
